Customer Id,Cost
fffe3400310033003300,231.6847
fffe3600350035003400,261.62015
fffe3700360030003500,186.25346
fffe350038003600,179.3121
fffe3500390032003500,336.32455
fffe3900360034003300,295.79123
fffe3200380034003700,393.13293
fffe3900370035003200,1258.4093
fffe3100380039003200,638.3749
fffe3300330036003800,153.46463
fffe3600370030003400,834.57056
fffe3500380034003200,175.24464
fffe370035003600,135.96841
fffe3100340039003800,372.11548
fffe340030003700,21217.967
fffe330038003700,292.78668
fffe3500300032003000,1610.8314
fffe390038003700,159.67334
fffe3600390033003600,332.2798
fffe3300380036003100,1008.22723
fffe3200330032003100,142.90262
fffe3900300037003900,2779.47
fffe3100350030003700,209.21118
fffe3700360035003100,5177.6416
fffe350034003100,247.64595
fffe3400380039003700,255.77489
fffe3900320031003800,1178.1066
fffe3300360034003600,792.33856
fffe3500370037003500,167.02676
fffe34003500,299.64905
fffe3800370030003500,344.58374
fffe3300340035003800,204.81181
fffe3700380033003100,147.46837
fffe3200370034003600,154.95683
fffe3200370033003500,17056.156
fffe3100380039003700,176.99834
fffe3100310035003300,48174.043
fffe3100320031003700,218.00847
fffe3700390034003600,245.54178
fffe3200380033003000,206.63474
fffe3500320034003800,1052.5228
fffe3900390034003300,378.0553
fffe3900350033003200,440.92712
fffe3300350033003900,483.70566
fffe3600330030003800,591.28235
fffe3600310032003000,160.8199
fffe3700340036003800,275.02075
fffe3800320037003500,229.74603
fffe3200330037003000,176.958
fffe3100320035003500,164.5644
fffe3300370033003000,299.986
fffe3900360030003300,322.38742
fffe3400340034003000,281.2263
fffe3800300035003300,6701.881
fffe3700340035003900,1030.4558
fffe3600340034003900,158.62495
fffe310030003500,198.10428
fffe3700310035003200,286.59814
fffe3100330033003900,211.17998
fffe3800330030003700,186.17967
fffe3900370033003100,165.4775
fffe3500330036003400,83764.125
fffe3700350036003200,3392.7253
fffe3500390037003700,155.0922
fffe3200340034003300,7658.95
fffe3300350032003200,301.1775
fffe360034003500,187.47383
fffe3900390030003600,1036.7274
fffe3400350034003000,8120.583
fffe3600360036003300,257.7828
fffe3800350030003100,669.9647
fffe3400300030003000,272.37988
fffe3200390037003600,502.04028
fffe3600350039003500,9409.105
fffe3300350038003600,354.19336
fffe3600350037003900,211.81038
fffe3200360035003900,278.65298
fffe3300360039003100,6534.0015
fffe3400370030003300,2003.1383
fffe3400300031003600,553.13934
fffe3900340034003000,258.89862
fffe3700350038003900,573.1769
fffe3300330032003800,275.81805
fffe370039003600,282.48682
fffe3400340036003300,198.8253
fffe3900360034003400,230.17511
fffe3900380037003700,2165.1313
fffe3600360039003700,417.3985
fffe3600340031003600,250.0061
fffe3500370035003900,168.52116
fffe3700330037003400,3553.9116
fffe320037003400,644.1458
fffe3500310034003800,681.98376
fffe3700390039003200,4640.1104
fffe3900390038003600,421.75296
fffe3700380033003500,247.48799
fffe3700320036003800,4187.068
fffe3300360034003100,30588.594
fffe3700330038003400,459.29034
fffe3800380033003400,274.11685
fffe3200390030003300,369.41248
fffe3900380035003200,419.16425
fffe3600340031003100,206.27895
fffe3200300036003200,1279.1099
fffe370039003400,203.47229
fffe3500390030003300,2116.9307
fffe3700350030003700,478.57758
fffe3100370035003500,299.80725
fffe3900390038003100,233.46217
fffe3300320031003900,1306.9803
fffe3500300030003500,164.80675
fffe3800380031003200,201.38676
fffe3400390034003200,411.51404
fffe3200370037003200,326.05948
fffe370039003800,1273.4725
fffe3900360035003200,1680.0238
fffe3600370039003800,140.65265
fffe310037003900,24024.998
fffe3700360039003200,416.7408
fffe3700350035003200,213.68398
fffe3300350035003000,254.90689
fffe3400340034003900,693.0069
fffe3700340038003600,225.3132
fffe3200320033003500,291.41113
fffe3600310035003800,199.6507
fffe36003300,15469.896
fffe3500310038003000,118.51682
fffe3600360036003500,288.5237
fffe3400300039003500,1016.1039
fffe3300370034003400,875.6828
fffe380037003400,188.2406
fffe3500380036003000,3854.6968
fffe3800360031003700,206.66252
fffe370031003300,23664.55
fffe3500350032003700,6708.6973
fffe3400370035003100,175.80441
fffe3800310033003400,245.10007
fffe3800350031003600,4619.1343
fffe3700300032003200,175.04372
fffe3400350036003400,3965.0757
